city,title,price,location,area,building_area,bedrooms,bathrooms,garage
Jakarta Selatan,Rumah Bebas Banjir Cocok Untuk Usaha Dekat Mc D Kemang,"Rp 17,5 Miliar","Kemang, Jakarta Selatan",: 454 m²,: 350 m²,8,6,4
Jakarta Selatan,Cuma Ini Rumah Di Kebayoran Baru Harga Terjangkau Area Blok M,Rp 24 Miliar,"Kebayoran Baru, Jakarta Selatan",: 426 m²,: 500 m²,3,4,2
Jakarta Selatan,"Pasti Suka, Rumah Bagus Siap Huni 230m2 High Ceiling","Rp 3,45 Miliar","Tebet, Jakarta Selatan",: 140 m²,: 230 m²,4,3,2
Jakarta Selatan,Rumah Baru Design American Classic Modern Di Kebayoran Baru,Rp 37 Miliar,"Kebayoran Baru, Jakarta Selatan",: 342 m²,: 865 m²,5,6,2
Jakarta Selatan,Termurah Se Niaga Hijau Pondok Indah,Rp 14 Miliar,"Pondok Indah, Jakarta Selatan",: 441 m²,: 426 m²,5,4,5
Jakarta Selatan,Rumah Cantik Pondok Indah Harga Njop,"Rp 39,9 Miliar","Pondok Indah, Jakarta Selatan",: 1152 m²,: 918 m²,6,5,6
Jakarta Selatan,"Rumah Hitung Tanah di Tebet Dalam, Akses 3 Mobil","Rp 8,5 Miliar","Tebet, Jakarta Selatan",: 332 m²,: 300 m²,3,3,2
Jakarta Selatan,"House With Swimming Pool At West Cilandak , South Jakarta","Rp 19,7 Miliar","Cilandak, Jakarta Selatan",: 710 m²,: 611 m²,4,3,2
Jakarta Selatan,Dijual Cepat Rumah Asri Bendi Sskeb Lama Jak-Sel,"Rp 9,5 Miliar","Kebayoran Lama, Jakarta Selatan",: 555 m²,: 580 m²,5,4,4
Jakarta Selatan,"Rumah Siap Huni 2 Lantai, 3 Kt, 2 Km Dekat Cbd Bintaro Jaya Shm","Rp 1,75 Miliar","Bintaro, Jakarta Selatan",: 80 m²,: 70 m²,3,2,1
Jakarta Selatan,"Rumah Brand New Kebayoran Baru 3 Lantai, Private Lift, Taman, Pool",Rp 39 Miliar,"Kebayoran Baru, Jakarta Selatan",: 528 m²,: 650 m²,5,4,3
Jakarta Selatan,"Pondok Indah View Golf, Rumah Klasik 2 Lantai, Taman Luas, Pool, Elite",Rp 170 Miliar,"Pondok Indah, Jakarta Selatan",: 2835 m²,: 1400 m²,6,7,10
Jakarta Selatan,"Rumah Brand New Brawijaya Kebayoran Baru 2 Lantai, Mewah, Prime Area",Rp 80 Miliar,"Kebayoran Baru, Jakarta Selatan",: 700 m²,: 800 m²,4,4,6
Jakarta Selatan,"Rumah Kemang Timur Raya Dijual Murah Njop, Ijin Komersil Ruko Resto",Rp 24 Miliar,"Kemang, Jakarta Selatan",: 1192 m²,: 802 m²,4,4,6
Jakarta Selatan,Martimbang Kebayoran Baru Rumah Cantik 2 Lantai Modern Classic Dijual,Rp 41 Miliar,"Kebayoran Baru, Jakarta Selatan",: 600 m²,: 800 m²,5,4,2
Jakarta Selatan,"Kebayoran Baru Brand New 3 Lantai, Pool, Large Garden. Parkir 8 Mobil",Rp 35 Miliar,"Kebayoran Baru, Jakarta Selatan",: 633 m²,: 840 m²,5,5,8
Jakarta Selatan,"Kebayoran Baru Rumah 3 Lantai Murah, Lift, Pool, Taman Dekat Senayan",Rp 34 Miliar,"Kebayoran Baru, Jakarta Selatan",: 680 m²,: 650 m²,5,5,
Jakarta Selatan,"Rumah Dalam Cluster, Sangat Terawat Dan Siap Huni Di Kemang","Rp 14,3 Miliar","Kemang, Jakarta Selatan",: 348 m²,: 703 m²,4,3,2
Jakarta Selatan,Dijual Cepat Rumah Mewah Dalam Komplek Kemang Lokasi Sangat Strategis,"Rp 17,5 Miliar","Kemang, Jakarta Selatan",: 531 m²,: 466 m²,4,4,
Jakarta Selatan,Dijual Rumah cluster di jakarta selatan akses strategis 2mobil,"Rp 1,8 Miliar","Jagakarsa, Jakarta Selatan",: 108 m²,: 160 m²,4,4,2
Jakarta Selatan,Rumah Aesthetic Modern Dengan Split Level Dan Balkon Jakarta Sel,"Rp 1,3 Miliar","Jagakarsa, Jakarta Selatan",: 60 m²,: 120 m²,4,3,1
Jakarta Selatan,"American Classic Mewah Dan Siap Huni, Dijual Rumah Bagus Siap Huni Area Prime Kebayoran Baru, Jalan Martimbang, Jakarta Selatan",Rp 41 Miliar,"Kebayoran Baru, Jakarta Selatan",: 600 m²,: 800 m²,5,4,3
Jakarta Selatan,"Mewah Siap Huni, Dijual Rumah Bangunan 2 Lantai Kondisi Bagus Dan Siap Huni di Area Pondok Indah, Sekolah Kencana, Jakarta Selatan",Rp 55 Miliar,"Pondok Indah, Jakarta Selatan",: 819 m²,: 700 m²,4,4,10
Jakarta Selatan,Rumah Lama Prime Area One Gate System Asri Dan Jalan Lebar,Rp 16 Miliar,"Kebayoran Baru, Jakarta Selatan",: 262 m²,: 125 m²,3,3,
Jakarta Selatan,Rumah Di Jalan Utama Tebet Tanah Luas,Rp 16 Miliar,"Tebet, Jakarta Selatan",: 760 m²,: 1020 m²,7,4,4
