,city,title,price,location,area,building_area,bedrooms,bathrooms,garage
1197,Bogor,Rumah Shm 2 Lt Harga Nego Dekat Sekolah di Bogor Siap Kpr J22653,900.0,"Bogor Barat, Bogor",120.0,135.0,3.0,1.0,1.0
1198,Bogor,Rumah Siap Renov 2 Lt Harga Nego 10 Menit Ke Gerbang Tol Sentul Barat Dibantu Kpr J21307,2100.0,"Sentul, Bogor",160.0,209.0,4.0,3.0,1.0
1199,Depok,Rumah 2 Lantai Dengan Desain Cantik Dalam Perumahan Yang Tenang & Nyaman Di Cinere.,2400.0,"Cinere, Depok",120.0,180.0,3.0,3.0,2.0
1200,Depok,Rumah 2 Lantai Furnished Siap Huni Di Pancoran Mas Depok,1040.0,"Pancoran Mas, Depok",66.0,100.0,3.0,3.0,2.0
1201,Depok,Rumah Furnished Terlaris Di Sawangan Depok,650.0,"Sawangan, Depok",70.0,47.0,2.0,1.0,1.0
1203,Depok,"790 Juta. Tipe 64/86 M2. Limo, Depok. Murah. Dekat Perbatasan Depok Dan Jakarta Selatan. Bangunan Kokoh.",790.0,"Limo, Depok",88.0,45.0,2.0,1.0,1.0
1204,Depok,Rumah Siap Huni Premium Facelitas Cluster Exclus,900.0,"Cimanggis, Depok",90.0,75.0,3.0,2.0,2.0
1205,Depok,"Rumah Siap Huni, 5 Juta All In, Nempel Jalan Utama",980.0,"Cilodong, Depok",90.0,62.0,3.0,2.0,2.0
1206,Depok,Rumah Aman & Nyaman 8 Mnt ke Stasiun KA Depok Baru Free Renob J11154,1600.0,"Pancoran Mas, Depok",84.0,88.0,3.0,3.0,0.0
1207,Depok,Rumah LB 328 Carport Luas Bisa Nego dekat Mall dan Stasiun di Depok J21811,3870.0,"Citayam, Depok",188.0,328.0,4.0,3.0,0.0
1208,Depok,Townhouse Mewah Tanah Baru Beji Depok Nempel Jakarta Selatan,1570.0,"Tanah Baru, Depok",68.0,120.0,3.0,3.0,1.0
1209,Depok,Rumah modern 2 lantai dekat dengan sarana pendidikan di sawangan,900.0,"Bojong Sari, Depok",65.0,78.0,3.0,3.0,2.0
1210,Depok,Rumah Minimalis 1 Lantai 8 Menit ke RS Citra Medika Depok Harga Nego J20758,620.0,"Sukmajaya, Depok",72.0,45.0,2.0,1.0,0.0
1211,Depok,Rumah Premium Siap Huni Premium Faselitas Exclusive & Strategis,900.0,"Cilodong, Depok",90.0,65.0,3.0,2.0,2.0
1212,Depok,Rumah Mewah Siap Huni 800 Meter Ke Pintu Tol Depok,945.0,"Pancoran Mas, Depok",69.0,100.0,3.0,2.0,1.0
1213,Depok,Rumah Mewah Minimalis 2 Lantai View Danau Tanpa Dp Di Depok,950.0,"Kelapa Dua, Depok",90.0,62.0,3.0,2.0,2.0
1214,Depok,Rumah cantik minimalis kekinian bisa cicil KPR 5 menit ke gerbang tol Limo Depok J7959,1290.0,"Cipayung, Depok",90.0,64.0,3.0,2.0,1.0
1215,Depok,"Rumah 2 Lantai Modern American Classic Di Krukut Depok, Akses Selangkah Menuju Tol Krukut Cinere",899.0,"Krukut, Depok",72.0,70.0,3.0,2.0,1.0
1216,Depok,Rumah Seken Siap Huni 15 Menit ke RSUD Kota Depok Baru Renov Siap Nego J10757,840.0,"Pancoran Mas, Depok",72.0,38.0,2.0,1.0,0.0
1217,Depok,Rumah Siap Huni Akses Jalan Luas Dekat Tol Sawangan Dan Pamulang,740.0,"Sawangan, Depok",77.0,90.0,3.0,2.0,1.0
1218,Depok,Rumah Siaphuni Jln Luas 5 Menit Rsud Depok 10 Menit Tol Cimanggis,550.0,"Cimanggis, Depok",60.0,40.0,2.0,1.0,2.0
1219,Depok,Rumah Baru Siap Huni di Jalan Raya Meruyung 10 Menit Ke Tol Limo Dan Tol Sawangan,1040.0,"Cinere, Depok",64.0,100.0,4.0,3.0,2.0
1220,Depok,Rumah Brand New Fasad Modern di Cinere Siap Huni Luas 100m2,2300.0,"Cinere, Depok",100.0,110.0,3.0,3.0,2.0
1221,Depok,Rumah Mewah 2 Lantai Tanpa Dp Pinggir Jalan Raya Utama Di Depok,950.0,"Depok II, Depok",90.0,65.0,3.0,2.0,2.0
1222,Depok,Rmah Kos2an 14 Kmr di Pondok Labu + Bonus Ruko 2 Lantai Jual Cepat,2390.0,"Gandul, Depok",229.0,250.0,14.0,8.0,1.0
1223,Depok,Dijual Cepat Rumah 2lt Di Rafflea Hills Cibubur,2950.0,"Cibubur, Depok",225.0,300.0,4.0,3.0,1.0
1224,Depok,Rumah Full Furnised Dalam Cluster Di Andara,4100.0,"Pangkalan Jati, Depok",155.0,202.0,4.0,4.0,1.0
1225,Depok,Rumah 2 Lantai Baru Renovasi Dalam Lingkungan Tenang Di Perumahan Griya Cinere I Depok.,1600.0,"Cinere, Depok",102.0,200.0,5.0,2.0,1.0
1226,Depok,Rumah Siap Huni di Bukit Griya Cinere Dekat Tol Limo Free Biaya Biaya J10972,1340.0,"Cinere, Depok",72.0,140.0,3.0,3.0,0.0
1227,Depok,Rumah Dalam Lingkungan Yang Nyaman & Tenang Di Mega Cinere.,2800.0,"Cinere, Depok",150.0,210.0,5.0,4.0,2.0
1228,Depok,Rumah 2 Lantai Furnished Dekat Tol Cinere Depok,1040.0,"Cinere, Depok",65.0,100.0,3.0,3.0,2.0
1229,Depok,Rumah 2 Lantai Furnished Terlaris Akses Dekat Tol Desari,997.0,"Cinere, Depok",72.0,102.0,3.0,2.0,1.0
1230,Depok,"Rumah 1,5 Lantai Furnished 900 Meter Ke Pintu Tol Di Depok",739.0,"Pancoran Mas, Depok",72.0,50.0,2.0,1.0,1.0
1231,Depok,Rumah 2 Lantai Furnished Di Pancoran Mas Dekat Tol Depok,1270.0,"Pancoran Mas, Depok",91.0,135.0,3.0,3.0,2.0
1232,Depok,Cinere Graha Cinere Rumah Brandnew Dekat Tol Depok Antasari,1900.0,"Cinere, Depok",114.0,110.0,3.0,2.0,2.0
1233,Depok,Cinere mega cinere rumah brand new harga cantik,1850.0,"Cinere, Depok",80.0,120.0,4.0,3.0,1.0
1234,Depok,Rumah Baru Dekat Tol Ada Dalam Komplek Dekat Toll Brigif,2750.0,"Cinere, Depok",237.0,230.0,4.0,3.0,1.0
1235,Depok,"Rumah Baru 2 Lantai Siap Huni Dalam Komplek, Cinere",2900.0,"Cinere, Depok",175.0,230.0,3.0,3.0,1.0
1236,Depok,Rumah Mewah Komplek Cinere Terdepan Nempel Lebak Bulus,3950.0,"Cinere, Depok",220.0,300.0,3.0,2.0,1.0
1237,Depok,Cepat Bukit Cinere Indah Rumah bagus,4100.0,"Cinere, Depok",412.0,300.0,3.0,2.0,4.0
1238,Depok,Rumah Di Cilodong Depok Cukup Booking 3 Jt Sampai Akad,450.0,"Cilodong, Depok",80.0,36.0,2.0,1.0,0.0
1239,Depok,Rumah Baru 2 Lt 6 Menit Mall The Park Sawangan Dekat Tol Pamulang,816.0,"Sawangan, Depok",60.0,102.0,3.0,3.0,1.0
1240,Depok,Rumah Cimanggis Depok Pinggir Jalan Raya 10 Menit Ke Tol Cijago,624.0,"Cimanggis, Depok",60.0,36.0,2.0,1.0,1.0
1241,Depok,Rumah Dekat Stasiun Depok Baru 10 Menit Tol Kukusan Dan Sawangan,975.0,"Pancoran Mas, Depok",62.0,65.0,3.0,3.0,1.0
1243,Depok,Dijual Rumah Scandinavian 2 Lantai Cinere Nempel Jakarta Selatan,1080.0,"Cinere, Depok",69.0,75.0,3.0,2.0,2.0
1244,Depok,Rumah 2 Lantai Murah Di Pancoran Mas Akses 900 Meter Ke Tol,675.0,"Pancoran Mas, Depok",45.0,60.0,2.0,2.0,1.0
1245,Depok,"Rumah 2,5 Lantai Siap Huni Di Pancoran Mas Dekat Pintu Tol",1350.0,"Pancoran Mas, Depok",85.0,150.0,4.0,4.0,1.0
1246,Depok,Rumah Siap Huni 4 Kamar Dekat Stasiun Kereta Di Depok,1340.0,"Pancoran Mas, Depok",114.0,130.0,4.0,3.0,2.0
1247,Depok,Rumah 2 Lantai Nyaman Di Perumahan Maharaja Pancoran Mas Depok,1050.0,"Pancoran Mas, Depok",60.0,75.0,3.0,2.0,1.0
1248,Depok,Rumah Nyaman Tanah Luas Dekat Stasiun Kereta Depok Baru,870.0,"Pancoran Mas, Depok",107.0,80.0,3.0,2.0,1.0
1249,Depok,Rumah Mewah Furnished Di Pancoran Mas Akses 800 Meter Ke Tol,945.0,"Pancoran Mas, Depok",70.0,110.0,3.0,2.0,1.0
1250,Depok,Rumah 2 Lantai Modern Strategis Dekat Pintu Tol Depok,997.0,"Sawangan, Depok",72.0,102.0,3.0,2.0,2.0
